Team Name,Year,Total Home Attendance
Baltimore Orioles,1962,795590
Boston Red Sox,1962,723710
Chicago Cubs,1962,593068
Chicago White Sox,1962,1131562
Cincinnati Reds,1962,981890
Cleveland Indians,1962,753256
Detroit Tigers,1962,1207581
Los Angeles Dodgers,1962,2782526
Minnesota Twins,1962,1435640
New York Mets,1962,925807
New York Yankees,1962,1606325
Philadelphia Phillies,1962,762169
Pittsburgh Pirates,1962,1071614
San Francisco Giants,1962,1590136
St. Louis Cardinals,1962,938516
Houston Colt 45s,1962,922106
Kansas City Athletics,1962,635224
Los Angeles Angels,1962,1135590
Milwaukee Braves,1962,760053
Washington Senators II,1962,729741
Baltimore Orioles,1963,801749
Boston Red Sox,1963,942729
Chicago Cubs,1963,993515
Chicago White Sox,1963,1179117
Cincinnati Reds,1963,858708
Cleveland Indians,1963,639361
Detroit Tigers,1963,818762
Los Angeles Dodgers,1963,2538659
Minnesota Twins,1963,1406627
New York Mets,1963,1077322
New York Yankees,1963,1460537
Philadelphia Phillies,1963,908149
Pittsburgh Pirates,1963,783735
San Francisco Giants,1963,1570924
St. Louis Cardinals,1963,1169364
Houston Colt 45s,1963,719502
Kansas City Athletics,1963,751929
Los Angeles Angels,1963,837484
Milwaukee Braves,1963,779552
Washington Senators II,1963,543631
Baltimore Orioles,1964,1126449
Boston Red Sox,1964,883279
Chicago Cubs,1964,751639
Chicago White Sox,1964,1249413
Cincinnati Reds,1964,863670
Cleveland Indians,1964,653293
Detroit Tigers,1964,815921
Los Angeles Dodgers,1964,2234498
Minnesota Twins,1964,1207508
New York Mets,1964,1734389
New York Yankees,1964,1305638
Philadelphia Phillies,1964,1425972
Pittsburgh Pirates,1964,759498
San Francisco Giants,1964,1503544
St. Louis Cardinals,1964,1142667
Houston Colt 45s,1964,726155
Kansas City Athletics,1964,635465
Los Angeles Angels,1964,760611
Milwaukee Braves,1964,912022
Washington Senators II,1964,595271
Baltimore Orioles,1965,784803
Boston Red Sox,1965,651761
Chicago Cubs,1965,632788
Chicago White Sox,1965,1133319
Cincinnati Reds,1965,1048540
Cleveland Indians,1965,962727
Detroit Tigers,1965,1029735
Houston Astros,1965,2151470
Los Angeles Dodgers,1965,2560648
Minnesota Twins,1965,1463288
New York Mets,1965,1755366
New York Yankees,1965,1304296
Philadelphia Phillies,1965,1166099
Pittsburgh Pirates,1965,916743
San Francisco Giants,1965,1546066
St. Louis Cardinals,1965,1234891
California Angels,1965,570253
Kansas City Athletics,1965,523276
Milwaukee Braves,1965,555668
Washington Senators II,1965,562913
Atlanta Braves,1966,1539796
Baltimore Orioles,1966,1203424
Boston Red Sox,1966,815197
Chicago Cubs,1966,635890
Chicago White Sox,1966,973770
Cincinnati Reds,1966,745156
Cleveland Indians,1966,920251
Detroit Tigers,1966,1124294
Houston Astros,1966,1878398
Los Angeles Dodgers,1966,2617056
Minnesota Twins,1966,1259556
New York Mets,1966,1933834
New York Yankees,1966,1224803
Philadelphia Phillies,1966,1108191
Pittsburgh Pirates,1966,1196618
San Francisco Giants,1966,1657192
St. Louis Cardinals,1966,1712720
California Angels,1966,1407756
Kansas City Athletics,1966,773599
Washington Senators II,1966,589817
Atlanta Braves,1967,1379214
Baltimore Orioles,1967,854902
Boston Red Sox,1967,1694362
Chicago Cubs,1967,977226
Chicago White Sox,1967,986471
Cincinnati Reds,1967,957700
Cleveland Indians,1967,666463
Detroit Tigers,1967,1458411
Houston Astros,1967,1348285
Los Angeles Dodgers,1967,1665034
Minnesota Twins,1967,1481259
New York Mets,1967,1565500
New York Yankees,1967,1142656
Philadelphia Phillies,1967,825512
Pittsburgh Pirates,1967,909012
San Francisco Giants,1967,1242500
St. Louis Cardinals,1967,2089645
California Angels,1967,1318067
Kansas City Athletics,1967,660747
Washington Senators II,1967,765788
Atlanta Braves,1968,1146398
Baltimore Orioles,1968,876084
Boston Red Sox,1968,1882655
Chicago Cubs,1968,1043409
Chicago White Sox,1968,801347
Cincinnati Reds,1968,733354
Cleveland Indians,1968,856815
Detroit Tigers,1968,2032257
Houston Astros,1968,1326718
Los Angeles Dodgers,1968,1581093
Minnesota Twins,1968,1141103
New York Mets,1968,1781657
New York Yankees,1968,1124049
Oakland Athletics,1968,857017
Philadelphia Phillies,1968,668040
Pittsburgh Pirates,1968,693386
San Francisco Giants,1968,837224
St. Louis Cardinals,1968,2011567
California Angels,1968,1025956
Washington Senators II,1968,541282
Atlanta Braves,1969,1501047
Baltimore Orioles,1969,1012368
Boston Red Sox,1969,1837449
Chicago Cubs,1969,1674953
Chicago White Sox,1969,593076
Cincinnati Reds,1969,987991
Cleveland Indians,1969,628942
Detroit Tigers,1969,1584063
Houston Astros,1969,1442995
Kansas City Royals,1969,902380
Los Angeles Dodgers,1969,1794527
Minnesota Twins,1969,1319387
Montreal Expos,1969,1213277
New York Mets,1969,2192091
New York Yankees,1969,1077387
Oakland Athletics,1969,778395
Philadelphia Phillies,1969,519401
Pittsburgh Pirates,1969,769349
San Diego Padres,1969,626847
San Francisco Giants,1969,873603
St. Louis Cardinals,1969,1682673
California Angels,1969,758728
Seattle Pilots,1969,668215
Washington Senators II,1969,914227
Atlanta Braves,1970,1078800
Baltimore Orioles,1970,1027904
Boston Red Sox,1970,1594593
Chicago Cubs,1970,1642523
Chicago White Sox,1970,494411
Cincinnati Reds,1970,1812230
Cleveland Indians,1970,728209
Detroit Tigers,1970,1481364
Houston Astros,1970,1247444
Kansas City Royals,1970,692986
Los Angeles Dodgers,1970,1697141
Milwaukee Brewers,1970,935496
Minnesota Twins,1970,1251138
Montreal Expos,1970,1424449
New York Mets,1970,2697456
New York Yankees,1970,1136873
Oakland Athletics,1970,778436
Philadelphia Phillies,1970,708247
Pittsburgh Pirates,1970,1342007
San Diego Padres,1970,633369
San Francisco Giants,1970,740404
St. Louis Cardinals,1970,1627777
California Angels,1970,1098557
Washington Senators II,1970,824750
Atlanta Braves,1971,1006320
Baltimore Orioles,1971,1033035
Boston Red Sox,1971,1630612
Chicago Cubs,1971,1653007
Chicago White Sox,1971,832388
Cincinnati Reds,1971,1501125
Cleveland Indians,1971,591298
Detroit Tigers,1971,1591037
Houston Astros,1971,1260897
Kansas City Royals,1971,910784
Los Angeles Dodgers,1971,2064549
Milwaukee Brewers,1971,731533
Minnesota Twins,1971,940848
Montreal Expos,1971,1293053
New York Mets,1971,2313931
New York Yankees,1971,1074518
Oakland Athletics,1971,907835
Philadelphia Phillies,1971,1511073
Pittsburgh Pirates,1971,1540368
San Diego Padres,1971,549075
San Francisco Giants,1971,1119834
St. Louis Cardinals,1971,1604431
California Angels,1971,926253
Washington Senators II,1971,655156
Atlanta Braves,1972,761542
Baltimore Orioles,1972,924245
Boston Red Sox,1972,1423484
Chicago Cubs,1972,1330571
Chicago White Sox,1972,1198654
Cincinnati Reds,1972,1628077
Cleveland Indians,1972,759774
Detroit Tigers,1972,1938791
Houston Astros,1972,1464244
Kansas City Royals,1972,717082
Los Angeles Dodgers,1972,1860498
Milwaukee Brewers,1972,600419
Minnesota Twins,1972,807571
Montreal Expos,1972,1149506
New York Mets,1972,2134194
New York Yankees,1972,967715
Oakland Athletics,1972,927544
Philadelphia Phillies,1972,1481637
Pittsburgh Pirates,1972,1520969
San Diego Padres,1972,643273
San Francisco Giants,1972,645578
St. Louis Cardinals,1972,1196894
Texas Rangers,1972,667287
California Angels,1972,736804
Atlanta Braves,1973,802848
Baltimore Orioles,1973,960307
Boston Red Sox,1973,1483301
Chicago Cubs,1973,1351971
Chicago White Sox,1973,1315260
Cincinnati Reds,1973,2017821
Cleveland Indians,1973,605066
Detroit Tigers,1973,1724146
Houston Astros,1973,1393998
Kansas City Royals,1973,1345441
Los Angeles Dodgers,1973,2139452
Milwaukee Brewers,1973,1092244
Minnesota Twins,1973,907499
Montreal Expos,1973,1246863
New York Mets,1973,1914695
New York Yankees,1973,1262039
Oakland Athletics,1973,1000045
Philadelphia Phillies,1973,1475932
Pittsburgh Pirates,1973,1318558
San Diego Padres,1973,612005
San Francisco Giants,1973,834415
St. Louis Cardinals,1973,1573906
Texas Rangers,1973,686162
California Angels,1973,1057631
Atlanta Braves,1974,981083
Baltimore Orioles,1974,962620
Boston Red Sox,1974,1558391
Chicago Cubs,1974,1015378
Chicago White Sox,1974,1166453
Cincinnati Reds,1974,2134250
Cleveland Indians,1974,1111450
Detroit Tigers,1974,1245346
Houston Astros,1974,1093105
Kansas City Royals,1974,1174292
Los Angeles Dodgers,1974,2629474
Milwaukee Brewers,1974,938822
Minnesota Twins,1974,667511
Montreal Expos,1974,1019132
New York Mets,1974,1727328
New York Yankees,1974,1290480
Oakland Athletics,1974,836662
Philadelphia Phillies,1974,1792067
Pittsburgh Pirates,1974,1110737
San Diego Padres,1974,1075471
San Francisco Giants,1974,519991
St. Louis Cardinals,1974,1838413
Texas Rangers,1974,1193867
California Angels,1974,905399
Atlanta Braves,1975,534552
Baltimore Orioles,1975,1002125
Boston Red Sox,1975,1748518
Chicago Cubs,1975,1034819
Chicago White Sox,1975,770802
Cincinnati Reds,1975,2315603
Cleveland Indians,1975,977056
Detroit Tigers,1975,1038439
Houston Astros,1975,857444
Kansas City Royals,1975,1151805
Los Angeles Dodgers,1975,2552103
Milwaukee Brewers,1975,1213363
Minnesota Twins,1975,737156
Montreal Expos,1975,908202
New York Mets,1975,1730766
New York Yankees,1975,1288046
Oakland Athletics,1975,1077597
Philadelphia Phillies,1975,1908969
Pittsburgh Pirates,1975,1270013
San Diego Padres,1975,1281747
San Francisco Giants,1975,522902
St. Louis Cardinals,1975,1695034
Texas Rangers,1975,1127663
California Angels,1975,1058103
Atlanta Braves,1976,817947
Baltimore Orioles,1976,1058792
Boston Red Sox,1976,1895885
Chicago Cubs,1976,1026785
Chicago White Sox,1976,914942
Cincinnati Reds,1976,2629708
Cleveland Indians,1976,949821
Detroit Tigers,1976,1471533
Houston Astros,1976,886622
Kansas City Royals,1976,1679160
Los Angeles Dodgers,1976,2386301
Milwaukee Brewers,1976,1011399
Minnesota Twins,1976,715394
Montreal Expos,1976,646698
New York Mets,1976,1470364
New York Yankees,1976,2017932
Oakland Athletics,1976,780945
Philadelphia Phillies,1976,2480016
Pittsburgh Pirates,1976,1025952
San Diego Padres,1976,1458478
San Francisco Giants,1976,625382
St. Louis Cardinals,1976,1200323
Texas Rangers,1976,1161682
California Angels,1976,1006774
Atlanta Braves,1977,871526
Baltimore Orioles,1977,1257033
Boston Red Sox,1977,2074549
Chicago Cubs,1977,1440753
Chicago White Sox,1977,1680296
Cincinnati Reds,1977,2526031
Cleveland Indians,1977,920869
Detroit Tigers,1977,1410065
Houston Astros,1977,1099580
Kansas City Royals,1977,1889574
Los Angeles Dodgers,1977,2945087
Milwaukee Brewers,1977,1141774
Minnesota Twins,1977,1162727
Montreal Expos,1977,1437190
New York Mets,1977,1062782
New York Yankees,1977,2316023
Oakland Athletics,1977,504765
Philadelphia Phillies,1977,2699750
Pittsburgh Pirates,1977,1237359
San Diego Padres,1977,1375269
San Francisco Giants,1977,696654
Seattle Mariners,1977,1350601
St. Louis Cardinals,1977,1658282
Texas Rangers,1977,1274962
Toronto Blue Jays,1977,1794651
California Angels,1977,1435133
Atlanta Braves,1978,875902
Baltimore Orioles,1978,1033755
Boston Red Sox,1978,2320210
Chicago Cubs,1978,1495983
Chicago White Sox,1978,1491100
Cincinnati Reds,1978,2532497
Cleveland Indians,1978,807123
Detroit Tigers,1978,1714843
Houston Astros,1978,1128233
Kansas City Royals,1978,2255493
Los Angeles Dodgers,1978,3347803
Milwaukee Brewers,1978,1581834
Minnesota Twins,1978,787880
Montreal Expos,1978,1427181
New York Mets,1978,1007867
New York Yankees,1978,2424399
Oakland Athletics,1978,527017
Philadelphia Phillies,1978,2582409
Pittsburgh Pirates,1978,964106
San Diego Padres,1978,1669349
San Francisco Giants,1978,1738855
Seattle Mariners,1978,866906
St. Louis Cardinals,1978,1278221
Texas Rangers,1978,1447963
Toronto Blue Jays,1978,1562509
California Angels,1978,1755386
Atlanta Braves,1979,768737
Baltimore Orioles,1979,1680427
Boston Red Sox,1979,2353125
Chicago Cubs,1979,1656343
Chicago White Sox,1979,1280702
Cincinnati Reds,1979,2356933
Cleveland Indians,1979,1011744
Detroit Tigers,1979,1630939
Houston Astros,1979,1915449
Kansas City Royals,1979,2261845
Los Angeles Dodgers,1979,2860954
Milwaukee Brewers,1979,1918893
Minnesota Twins,1979,1070621
Montreal Expos,1979,2102153
New York Mets,1979,788764
New York Yankees,1979,2543848
Oakland Athletics,1979,306763
Philadelphia Phillies,1979,2774849
Pittsburgh Pirates,1979,1435427
San Diego Padres,1979,1457147
San Francisco Giants,1979,1483812
Seattle Mariners,1979,844450
St. Louis Cardinals,1979,1628406
Texas Rangers,1979,1519672
Toronto Blue Jays,1979,1431659
California Angels,1979,2523575
Atlanta Braves,1980,1048352
Baltimore Orioles,1980,1805020
Boston Red Sox,1980,1956110
Chicago Cubs,1980,1204582
Chicago White Sox,1980,1212873
Cincinnati Reds,1980,2031596
Cleveland Indians,1980,1036352
Detroit Tigers,1980,1785360
Houston Astros,1980,2308092
Kansas City Royals,1980,2290056
Los Angeles Dodgers,1980,3248887
Milwaukee Brewers,1980,1865583
Minnesota Twins,1980,769206
Montreal Expos,1980,2185122
New York Mets,1980,1178738
New York Yankees,1980,2627417
Oakland Athletics,1980,842319
Philadelphia Phillies,1980,2658957
Pittsburgh Pirates,1980,1641757
San Diego Padres,1980,1152438
San Francisco Giants,1980,1098130
Seattle Mariners,1980,837886
St. Louis Cardinals,1980,1399755
Texas Rangers,1980,1198165
Toronto Blue Jays,1980,1400327
California Angels,1980,2297327
Atlanta Braves,1981,534107
Baltimore Orioles,1981,1024831
Boston Red Sox,1981,1060659
Chicago Cubs,1981,565615
Chicago White Sox,1981,944701
Cincinnati Reds,1981,1111107
Cleveland Indians,1981,662417
Detroit Tigers,1981,1149744
Houston Astros,1981,1321222
Kansas City Royals,1981,1279440
Los Angeles Dodgers,1981,2382579
Milwaukee Brewers,1981,878482
Minnesota Twins,1981,469090
Montreal Expos,1981,1534663
New York Mets,1981,701910
New York Yankees,1981,1614482
Oakland Athletics,1981,1298105
Philadelphia Phillies,1981,1638914
Pittsburgh Pirates,1981,549369
San Diego Padres,1981,559711
San Francisco Giants,1981,632274
Seattle Mariners,1981,636276
St. Louis Cardinals,1981,1010247
Texas Rangers,1981,853032
Toronto Blue Jays,1981,755083
California Angels,1981,1441545
Atlanta Braves,1982,1800376
Baltimore Orioles,1982,1613685
Boston Red Sox,1982,1954038
Chicago Cubs,1982,1250410
Chicago White Sox,1982,1567787
Cincinnati Reds,1982,1340706
Cleveland Indians,1982,1044041
Detroit Tigers,1982,1636058
Houston Astros,1982,1560396
Kansas City Royals,1982,2279464
Los Angeles Dodgers,1982,3608881
Milwaukee Brewers,1982,1978815
Minnesota Twins,1982,921186
Montreal Expos,1982,2319792
New York Mets,1982,1320469
New York Yankees,1982,2041219
Oakland Athletics,1982,1738658
Philadelphia Phillies,1982,2374711
Pittsburgh Pirates,1982,1026477
San Diego Padres,1982,1617391
San Francisco Giants,1982,1228846
Seattle Mariners,1982,1070387
St. Louis Cardinals,1982,2111922
Texas Rangers,1982,1154432
Toronto Blue Jays,1982,1275908
California Angels,1982,2807360
Atlanta Braves,1983,2116740
Baltimore Orioles,1983,2036397
Boston Red Sox,1983,1780794
Chicago Cubs,1983,1483702
Chicago White Sox,1983,2132813
Cincinnati Reds,1983,1192882
Cleveland Indians,1983,768937
Detroit Tigers,1983,1786900
Houston Astros,1983,1352942
Kansas City Royals,1983,1963886
Los Angeles Dodgers,1983,3509313
Milwaukee Brewers,1983,2266725
Minnesota Twins,1983,868272
Montreal Expos,1983,2320556
New York Mets,1983,1099876
New York Yankees,1983,2249688
Oakland Athletics,1983,1294941
Philadelphia Phillies,1983,2128345
Pittsburgh Pirates,1983,1227449
San Diego Padres,1983,1544736
San Francisco Giants,1983,1256098
Seattle Mariners,1983,808037
St. Louis Cardinals,1983,2343669
Texas Rangers,1983,1362314
Toronto Blue Jays,1983,1930277
California Angels,1983,2555376
Atlanta Braves,1984,1724891
Baltimore Orioles,1984,2037206
Boston Red Sox,1984,1660551
Chicago Cubs,1984,2108055
Chicago White Sox,1984,2135827
Cincinnati Reds,1984,1270073
Cleveland Indians,1984,731378
Detroit Tigers,1984,2704794
Houston Astros,1984,1230579
Kansas City Royals,1984,1810018
Los Angeles Dodgers,1984,3134824
Milwaukee Brewers,1984,1608509
Minnesota Twins,1984,1598373
Montreal Expos,1984,1623419
New York Mets,1984,1829481
New York Yankees,1984,1823496
Oakland Athletics,1984,1353281
Philadelphia Phillies,1984,2062966
Pittsburgh Pirates,1984,773195
San Diego Padres,1984,1984953
San Francisco Giants,1984,1001551
Seattle Mariners,1984,869874
St. Louis Cardinals,1984,2059347
Texas Rangers,1984,1102430
Toronto Blue Jays,1984,2110009
California Angels,1984,2402997
Atlanta Braves,1985,1350047
Baltimore Orioles,1985,2137434
Boston Red Sox,1985,1786463
Chicago Cubs,1985,2161534
Chicago White Sox,1985,1669970
Cincinnati Reds,1985,1834619
Cleveland Indians,1985,655181
Detroit Tigers,1985,2286610
Houston Astros,1985,1184383
Kansas City Royals,1985,2162715
Los Angeles Dodgers,1985,3264683
Milwaukee Brewers,1985,1359995
Minnesota Twins,1985,1652063
Montreal Expos,1985,1502494
New York Mets,1985,2751237
New York Yankees,1985,2214587
Oakland Athletics,1985,1334627
Philadelphia Phillies,1985,1830350
Pittsburgh Pirates,1985,735900
San Diego Padres,1985,2210352
San Francisco Giants,1985,818697
Seattle Mariners,1985,1127603
St. Louis Cardinals,1985,2661465
Texas Rangers,1985,1112461
Toronto Blue Jays,1985,2468925
California Angels,1985,2567787
Atlanta Braves,1986,1387152
Baltimore Orioles,1986,1973222
Boston Red Sox,1986,2146694
Chicago Cubs,1986,1859102
Chicago White Sox,1986,1424017
Cincinnati Reds,1986,1692432
Cleveland Indians,1986,1470977
Detroit Tigers,1986,1899437
Houston Astros,1986,1734266
Kansas City Royals,1986,2320764
Los Angeles Dodgers,1986,3033208
Milwaukee Brewers,1986,1265041
Minnesota Twins,1986,1256566
Montreal Expos,1986,1125164
New York Mets,1986,2762417
New York Yankees,1986,2268186
Oakland Athletics,1986,1314646
Philadelphia Phillies,1986,1918623
Pittsburgh Pirates,1986,1014629
San Diego Padres,1986,1805776
San Francisco Giants,1986,1532385
Seattle Mariners,1986,1028223
St. Louis Cardinals,1986,2498142
Texas Rangers,1986,1692021
Toronto Blue Jays,1986,2455477
California Angels,1986,2655459
Atlanta Braves,1987,1217403
Baltimore Orioles,1987,1845251
Boston Red Sox,1987,2231649
Chicago Cubs,1987,2035202
Chicago White Sox,1987,1208070
Cincinnati Reds,1987,2185205
Cleveland Indians,1987,1076898
Detroit Tigers,1987,2061830
Houston Astros,1987,1920997
Kansas City Royals,1987,2392471
Los Angeles Dodgers,1987,2800409
Milwaukee Brewers,1987,1908784
Minnesota Twins,1987,2082203
Montreal Expos,1987,1850324
New York Mets,1987,3027121
New York Yankees,1987,2427702
Oakland Athletics,1987,1678922
Philadelphia Phillies,1987,2100110
Pittsburgh Pirates,1987,1161193
San Diego Padres,1987,1454101
San Francisco Giants,1987,1917863
Seattle Mariners,1987,1133010
St. Louis Cardinals,1987,3073131
Texas Rangers,1987,1763749
Toronto Blue Jays,1987,2778459
California Angels,1987,2696208
Atlanta Braves,1988,848097
Baltimore Orioles,1988,1660738
Boston Red Sox,1988,2463339
Chicago Cubs,1988,2088534
Chicago White Sox,1988,1115655
Cincinnati Reds,1988,2062528
Cleveland Indians,1988,1421790
Detroit Tigers,1988,2081102
Houston Astros,1988,1933635
Kansas City Royals,1988,2349181
Los Angeles Dodgers,1988,2980262
Milwaukee Brewers,1988,1928238
Minnesota Twins,1988,3029999
Montreal Expos,1988,1478659
New York Mets,1988,3048530
New York Yankees,1988,2633633
Oakland Athletics,1988,2287446
Philadelphia Phillies,1988,1990042
Pittsburgh Pirates,1988,1865713
San Diego Padres,1988,1508563
San Francisco Giants,1988,1786482
Seattle Mariners,1988,1020354
St. Louis Cardinals,1988,2892089
Texas Rangers,1988,1582084
Toronto Blue Jays,1988,2595275
California Angels,1988,2340905
Atlanta Braves,1989,1034808
Baltimore Orioles,1989,2539245
Boston Red Sox,1989,2512069
Chicago Cubs,1989,2491932
Chicago White Sox,1989,1045646
Cincinnati Reds,1989,1979440
Cleveland Indians,1989,1285635
Detroit Tigers,1989,1543620
Houston Astros,1989,1863215
Kansas City Royals,1989,2475368
Los Angeles Dodgers,1989,2943833
Milwaukee Brewers,1989,1974300
Minnesota Twins,1989,2279508
Montreal Expos,1989,1789073
New York Mets,1989,2916960
New York Yankees,1989,2196200
Oakland Athletics,1989,2671641
Philadelphia Phillies,1989,1861985
Pittsburgh Pirates,1989,1374421
San Diego Padres,1989,2108158
San Francisco Giants,1989,2080296
Seattle Mariners,1989,1295433
St. Louis Cardinals,1989,3099147
Texas Rangers,1989,2042604
Toronto Blue Jays,1989,3376693
California Angels,1989,2644233
Atlanta Braves,1990,1009748
