Team Name,Year,Total Home Attendance
Baltimore Orioles,1990,2420997
Boston Red Sox,1990,2512898
Chicago Cubs,1990,2243394
Chicago White Sox,1990,2002359
Cincinnati Reds,1990,2407563
Cleveland Indians,1990,1228031
Detroit Tigers,1990,1470157
Houston Astros,1990,1313560
Kansas City Royals,1990,2244536
Los Angeles Dodgers,1990,3002950
Milwaukee Brewers,1990,1775008
Minnesota Twins,1990,1754348
Montreal Expos,1990,1421391
New York Mets,1990,2733555
New York Yankees,1990,2006436
Oakland Athletics,1990,2903203
Philadelphia Phillies,1990,1992124
Pittsburgh Pirates,1990,2051806
San Diego Padres,1990,1894172
San Francisco Giants,1990,2001105
Seattle Mariners,1990,1509714
St. Louis Cardinals,1990,2573275
Texas Rangers,1990,2057917
Toronto Blue Jays,1990,3884384
California Angels,1990,2558640
Atlanta Braves,1991,2140217
Baltimore Orioles,1991,2551102
Boston Red Sox,1991,2595356
Chicago Cubs,1991,2311520
Chicago White Sox,1991,2968154
Cincinnati Reds,1991,2372377
Cleveland Indians,1991,1051863
Detroit Tigers,1991,1659472
Houston Astros,1991,1196152
Kansas City Royals,1991,2161527
Los Angeles Dodgers,1991,3346630
Milwaukee Brewers,1991,1478814
Minnesota Twins,1991,2293842
Montreal Expos,1991,978045
New York Mets,1991,2263729
New York Yankees,1991,1863729
Oakland Athletics,1991,2713193
Philadelphia Phillies,1991,2049958
Pittsburgh Pirates,1991,2073028
San Diego Padres,1991,1803929
San Francisco Giants,1991,1737489
Seattle Mariners,1991,2109966
St. Louis Cardinals,1991,2449537
Texas Rangers,1991,2297718
Toronto Blue Jays,1991,4001526
California Angels,1991,2416146
Atlanta Braves,1992,3077400
Baltimore Orioles,1992,3569534
Boston Red Sox,1992,2469489
Chicago Cubs,1992,2126720
Chicago White Sox,1992,2681156
Cincinnati Reds,1992,2315946
Cleveland Indians,1992,1224274
Detroit Tigers,1992,1423963
Houston Astros,1992,1211348
Kansas City Royals,1992,1867689
Los Angeles Dodgers,1992,2473366
Milwaukee Brewers,1992,1857351
Minnesota Twins,1992,2482188
Montreal Expos,1992,1731566
New York Mets,1992,1779534
New York Yankees,1992,1748737
Oakland Athletics,1992,2494160
Philadelphia Phillies,1992,1927448
Pittsburgh Pirates,1992,1834523
San Diego Padres,1992,1721406
San Francisco Giants,1992,1561218
Seattle Mariners,1992,1651367
St. Louis Cardinals,1992,2418483
Texas Rangers,1992,2198231
Toronto Blue Jays,1992,4028318
California Angels,1992,2065434
Atlanta Braves,1993,3879508
Baltimore Orioles,1993,3643768
Boston Red Sox,1993,2422054
Chicago Cubs,1993,2643428
Chicago White Sox,1993,2581061
Cincinnati Reds,1993,2454428
Cleveland Indians,1993,2177908
Colorado Rockies,1993,4483203
Detroit Tigers,1993,1971401
Florida Marlins,1993,3066756
Houston Astros,1993,2081506
Kansas City Royals,1993,1941889
Los Angeles Dodgers,1993,3164720
Milwaukee Brewers,1993,1695077
Minnesota Twins,1993,2054523
Montreal Expos,1993,1641438
New York Mets,1993,1873115
New York Yankees,1993,2416837
Oakland Athletics,1993,2029063
Philadelphia Phillies,1993,3137512
Pittsburgh Pirates,1993,1652922
San Diego Padres,1993,1375432
San Francisco Giants,1993,2604635
Seattle Mariners,1993,2052425
St. Louis Cardinals,1993,2840533
Texas Rangers,1993,2252616
Toronto Blue Jays,1993,4057747
California Angels,1993,2063049
Atlanta Braves,1994,2534240
Baltimore Orioles,1994,2535359
Boston Red Sox,1994,1775541
Chicago Cubs,1994,1845278
Chicago White Sox,1994,1697448
Cincinnati Reds,1994,1897591
Cleveland Indians,1994,1995474
Colorado Rockies,1994,3281464
Detroit Tigers,1994,1184783
Florida Marlins,1994,1942377
Houston Astros,1994,1560970
Kansas City Royals,1994,1400581
Los Angeles Dodgers,1994,2280140
Milwaukee Brewers,1994,1268398
Minnesota Twins,1994,1398565
Montreal Expos,1994,1276250
New York Mets,1994,1152161
New York Yankees,1994,1681507
Oakland Athletics,1994,1240920
Philadelphia Phillies,1994,2289963
Pittsburgh Pirates,1994,1222579
San Diego Padres,1994,953886
San Francisco Giants,1994,1704317
Seattle Mariners,1994,1102288
St. Louis Cardinals,1994,1839098
Texas Rangers,1994,2502662
Toronto Blue Jays,1994,2907949
California Angels,1994,1512622
Atlanta Braves,1995,2564492
Baltimore Orioles,1995,3101759
Boston Red Sox,1995,2164401
Chicago Cubs,1995,1917546
Chicago White Sox,1995,1609775
Cincinnati Reds,1995,1830015
Cleveland Indians,1995,2842722
Colorado Rockies,1995,3402209
Detroit Tigers,1995,1180979
Florida Marlins,1995,1697414
Houston Astros,1995,1392683
Kansas City Royals,1995,1237203
Los Angeles Dodgers,1995,2766628
Milwaukee Brewers,1995,1088220
Minnesota Twins,1995,1057668
Montreal Expos,1995,1308618
New York Mets,1995,1273186
New York Yankees,1995,1709199
Oakland Athletics,1995,1174441
Philadelphia Phillies,1995,2048588
Pittsburgh Pirates,1995,911536
San Diego Padres,1995,1052995
San Francisco Giants,1995,1231591
Seattle Mariners,1995,1640379
St. Louis Cardinals,1995,1756061
Texas Rangers,1995,1985910
Toronto Blue Jays,1995,2826445
California Angels,1995,1748797
Atlanta Braves,1996,2898806
Baltimore Orioles,1996,3654764
Boston Red Sox,1996,2315349
Chicago Cubs,1996,2219110
Chicago White Sox,1996,1666025
Cincinnati Reds,1996,1871459
Cleveland Indians,1996,3320078
Colorado Rockies,1996,3906328
Detroit Tigers,1996,1168610
Florida Marlins,1996,1753706
Houston Astros,1996,1977715
Kansas City Royals,1996,1436006
Los Angeles Dodgers,1996,3188454
Milwaukee Brewers,1996,1327150
Minnesota Twins,1996,1437446
Montreal Expos,1996,1618571
New York Mets,1996,1582648
New York Yankees,1996,2255051
Oakland Athletics,1996,1187348
Philadelphia Phillies,1996,1796354
Pittsburgh Pirates,1996,1322079
San Diego Padres,1996,2207918
San Francisco Giants,1996,1418722
Seattle Mariners,1996,2721073
St. Louis Cardinals,1996,2645824
Texas Rangers,1996,2889040
Toronto Blue Jays,1996,2559910
California Angels,1996,1820183
Anaheim Angels,1997,1774702
Atlanta Braves,1997,3447608
Baltimore Orioles,1997,3692388
Boston Red Sox,1997,2223602
Chicago Cubs,1997,2189948
Chicago White Sox,1997,1865052
Cincinnati Reds,1997,1790058
Cleveland Indians,1997,3394750
Colorado Rockies,1997,3893433
Detroit Tigers,1997,1395413
Florida Marlins,1997,2352567
Houston Astros,1997,2046275
Kansas City Royals,1997,1526638
Los Angeles Dodgers,1997,3319320
Milwaukee Brewers,1997,1450029
Minnesota Twins,1997,1413064
Montreal Expos,1997,1507166
New York Mets,1997,1775201
New York Yankees,1997,2581043
Oakland Athletics,1997,1260565
Philadelphia Phillies,1997,1490542
Pittsburgh Pirates,1997,1694633
San Diego Padres,1997,2089333
San Francisco Giants,1997,1696583
Seattle Mariners,1997,3197054
St. Louis Cardinals,1997,2654568
Texas Rangers,1997,2923590
Toronto Blue Jays,1997,2589317
Anaheim Angels,1998,2519280
Arizona Diamondbacks,1998,3604237
Atlanta Braves,1998,3361350
Baltimore Orioles,1998,3684560
Boston Red Sox,1998,2343930
Chicago Cubs,1998,2623000
Chicago White Sox,1998,1391146
Cincinnati Reds,1998,1793676
Cleveland Indians,1998,3467299
Colorado Rockies,1998,3791276
Detroit Tigers,1998,1409391
Florida Marlins,1998,1750395
Houston Astros,1998,2450451
Kansas City Royals,1998,1494875
Los Angeles Dodgers,1998,3089222
Milwaukee Brewers,1998,1811548
Minnesota Twins,1998,1165980
Montreal Expos,1998,914909
New York Mets,1998,2287942
New York Yankees,1998,2949734
Oakland Athletics,1998,1232363
Philadelphia Phillies,1998,1715702
Pittsburgh Pirates,1998,1560950
San Diego Padres,1998,2555964
San Francisco Giants,1998,1925634
Seattle Mariners,1998,2651511
St. Louis Cardinals,1998,3195651
Tampa Bay Devil Rays,1998,2425759
Texas Rangers,1998,2927409
Toronto Blue Jays,1998,2454303
Anaheim Angels,1999,2253040
Arizona Diamondbacks,1999,3015948
Atlanta Braves,1999,3284901
Baltimore Orioles,1999,3432099
Boston Red Sox,1999,2446277
Chicago Cubs,1999,2813854
Chicago White Sox,1999,1338851
Cincinnati Reds,1999,2061324
Cleveland Indians,1999,3468436
Colorado Rockies,1999,3481065
Detroit Tigers,1999,2026491
Florida Marlins,1999,1369420
Houston Astros,1999,2706017
Kansas City Royals,1999,1501292
Los Angeles Dodgers,1999,3098990
Milwaukee Brewers,1999,1701790
Minnesota Twins,1999,1202829
Montreal Expos,1999,772737
New York Mets,1999,2726008
New York Yankees,1999,3293259
Oakland Athletics,1999,1434632
Philadelphia Phillies,1999,1825337
Pittsburgh Pirates,1999,1638023
San Diego Padres,1999,2523538
San Francisco Giants,1999,2078365
Seattle Mariners,1999,2915908
St. Louis Cardinals,1999,3235833
Tampa Bay Devil Rays,1999,1562967
Texas Rangers,1999,2774501
Toronto Blue Jays,1999,2163486
Anaheim Angels,2000,2066982
Arizona Diamondbacks,2000,2942251
Atlanta Braves,2000,3234304
Baltimore Orioles,2000,3297031
Boston Red Sox,2000,2585895
Chicago Cubs,2000,2789511
Chicago White Sox,2000,1971446
Cincinnati Reds,2000,2594132
Cleveland Indians,2000,3456278
Colorado Rockies,2000,3295129
Detroit Tigers,2000,2533753
Florida Marlins,2000,1218326
Houston Astros,2000,3056139
Kansas City Royals,2000,1677915
Los Angeles Dodgers,2000,3011539
Milwaukee Brewers,2000,1573621
Minnesota Twins,2000,1059415
Montreal Expos,2000,926272
New York Mets,2000,2820530
New York Yankees,2000,3227657
Oakland Athletics,2000,1728885
Philadelphia Phillies,2000,1612769
Pittsburgh Pirates,2000,1748908
San Diego Padres,2000,2423142
San Francisco Giants,2000,3315330
Seattle Mariners,2000,3148317
St. Louis Cardinals,2000,3336493
Tampa Bay Devil Rays,2000,1549592
Texas Rangers,2000,2800075
Toronto Blue Jays,2000,1819919
Anaheim Angels,2001,1998319
Arizona Diamondbacks,2001,2735821
Atlanta Braves,2001,2823494
Baltimore Orioles,2001,3094841
Boston Red Sox,2001,2625333
Chicago Cubs,2001,2779465
Chicago White Sox,2001,1766172
Cincinnati Reds,2001,1879757
Cleveland Indians,2001,3182523
Colorado Rockies,2001,3168579
Detroit Tigers,2001,1920995
Florida Marlins,2001,1261216
Houston Astros,2001,2906277
Kansas City Royals,2001,1536101
Los Angeles Dodgers,2001,3017143
Milwaukee Brewers,2001,2811040
Minnesota Twins,2001,1782926
Montreal Expos,2001,642743
New York Mets,2001,2658330
New York Yankees,2001,3264847
Oakland Athletics,2001,2133477
Philadelphia Phillies,2001,1792054
Pittsburgh Pirates,2001,2435868
San Diego Padres,2001,2378148
San Francisco Giants,2001,3311000
Seattle Mariners,2001,3512326
St. Louis Cardinals,2001,3109578
Tampa Bay Devil Rays,2001,1227383
Texas Rangers,2001,2831111
Toronto Blue Jays,2001,1915127
Anaheim Angels,2002,2305467
Arizona Diamondbacks,2002,3198975
Atlanta Braves,2002,2603484
Baltimore Orioles,2002,2681439
Boston Red Sox,2002,2650859
Chicago Cubs,2002,2694946
Chicago White Sox,2002,1675591
Cincinnati Reds,2002,1855775
Cleveland Indians,2002,2621940
Colorado Rockies,2002,2740614
Detroit Tigers,2002,1503353
Florida Marlins,2002,813127
Houston Astros,2002,2512357
Kansas City Royals,2002,1323036
Los Angeles Dodgers,2002,3131255
Milwaukee Brewers,2002,1969153
Minnesota Twins,2002,1924354
Montreal Expos,2002,812537
New York Mets,2002,2804838
New York Yankees,2002,3465807
Oakland Athletics,2002,2169816
Philadelphia Phillies,2002,1618467
Pittsburgh Pirates,2002,1784970
San Diego Padres,2002,2221230
San Francisco Giants,2002,3253203
Seattle Mariners,2002,3539938
St. Louis Cardinals,2002,3011756
Tampa Bay Devil Rays,2002,1065742
Texas Rangers,2002,2352397
Toronto Blue Jays,2002,1638170
Anaheim Angels,2003,3061094
Arizona Diamondbacks,2003,2805542
Atlanta Braves,2003,2401084
Baltimore Orioles,2003,2454523
Boston Red Sox,2003,2724165
Chicago Cubs,2003,2962630
Chicago White Sox,2003,1939594
Cincinnati Reds,2003,2355259
Cleveland Indians,2003,1727001
Colorado Rockies,2003,2334175
Detroit Tigers,2003,1368245
Florida Marlins,2003,1303214
Houston Astros,2003,2455241
Kansas City Royals,2003,1779895
Los Angeles Dodgers,2003,3138696
Milwaukee Brewers,2003,1700354
Minnesota Twins,2003,1946011
Montreal Expos,2003,1025639
New York Mets,2003,2168832
New York Yankees,2003,3460600
Oakland Athletics,2003,2216596
Philadelphia Phillies,2003,2259948
Pittsburgh Pirates,2003,1636751
San Diego Padres,2003,2030084
San Francisco Giants,2003,3264898
Seattle Mariners,2003,3267509
St. Louis Cardinals,2003,2910386
Tampa Bay Devil Rays,2003,1058695
Texas Rangers,2003,2094394
Toronto Blue Jays,2003,1799818
Anaheim Angels,2004,3375677
Arizona Diamondbacks,2004,2519560
Atlanta Braves,2004,2322565
Baltimore Orioles,2004,2744013
Boston Red Sox,2004,2837304
Chicago Cubs,2004,3170154
Chicago White Sox,2004,1930537
Cincinnati Reds,2004,2287250
Cleveland Indians,2004,1814401
Colorado Rockies,2004,2338069
Detroit Tigers,2004,1917004
Florida Marlins,2004,1723105
Houston Astros,2004,3087872
Kansas City Royals,2004,1661478
Los Angeles Dodgers,2004,3488283
Milwaukee Brewers,2004,2062382
Minnesota Twins,2004,1911490
Montreal Expos,2004,748550
New York Mets,2004,2318321
New York Yankees,2004,3775292
Oakland Athletics,2004,2201516
Philadelphia Phillies,2004,3250092
Pittsburgh Pirates,2004,1583031
San Diego Padres,2004,3016752
San Francisco Giants,2004,3256854
Seattle Mariners,2004,2940731
St. Louis Cardinals,2004,3048427
Tampa Bay Devil Rays,2004,1274911
Texas Rangers,2004,2513685
Toronto Blue Jays,2004,1900041
Arizona Diamondbacks,2005,2059331
Atlanta Braves,2005,2521534
Baltimore Orioles,2005,2624804
Boston Red Sox,2005,2847798
Chicago Cubs,2005,3100092
Chicago White Sox,2005,2342834
Cincinnati Reds,2005,1943166
Cleveland Indians,2005,2014220
Colorado Rockies,2005,1914389
Detroit Tigers,2005,2024505
Florida Marlins,2005,1852602
Houston Astros,2005,2804760
Kansas City Royals,2005,1371181
Los Angeles Dodgers,2005,3603680
Milwaukee Brewers,2005,2211023
Minnesota Twins,2005,2034243
New York Mets,2005,2829930
New York Yankees,2005,4090440
Oakland Athletics,2005,2108818
Philadelphia Phillies,2005,2665291
Pittsburgh Pirates,2005,1817245
San Diego Padres,2005,2869787
San Francisco Giants,2005,3181020
Seattle Mariners,2005,2724859
St. Louis Cardinals,2005,3542271
Tampa Bay Devil Rays,2005,1141915
Texas Rangers,2005,2525259
Toronto Blue Jays,2005,2014995
Washington Nationals,2005,2730352
Los Angeles Angels of Anaheim,2005,3404636
Arizona Diamondbacks,2006,2091005
Atlanta Braves,2006,2549524
Baltimore Orioles,2006,2153150
Boston Red Sox,2006,2930768
Chicago Cubs,2006,3123215
Chicago White Sox,2006,2957414
Cincinnati Reds,2006,2134472
Cleveland Indians,2006,1998070
Colorado Rockies,2006,2104560
Detroit Tigers,2006,2595937
Florida Marlins,2006,1165120
Houston Astros,2006,3022763
Kansas City Royals,2006,1372684
Los Angeles Dodgers,2006,3758421
Milwaukee Brewers,2006,2335643
Minnesota Twins,2006,2285018
New York Mets,2006,3372045
New York Yankees,2006,4247980
Oakland Athletics,2006,1976625
Philadelphia Phillies,2006,2701815
Pittsburgh Pirates,2006,1861549
San Diego Padres,2006,2659732
San Francisco Giants,2006,3130304
Seattle Mariners,2006,2480717
St. Louis Cardinals,2006,3407104
Tampa Bay Devil Rays,2006,1369031
Texas Rangers,2006,2388757
Toronto Blue Jays,2006,2302182
Washington Nationals,2006,2153080
Los Angeles Angels,2006,3406790
Arizona Diamondbacks,2007,2316507
Atlanta Braves,2007,2745303
Baltimore Orioles,2007,2172487
Boston Red Sox,2007,2970755
Chicago Cubs,2007,3252462
Chicago White Sox,2007,2684395
Cincinnati Reds,2007,2058593
Cleveland Indians,2007,2275911
Colorado Rockies,2007,2376250
Detroit Tigers,2007,3047124
Florida Marlins,2007,1370511
Houston Astros,2007,3020405
Kansas City Royals,2007,1616867
Los Angeles Dodgers,2007,3856753
Milwaukee Brewers,2007,2869144
Minnesota Twins,2007,2296383
New York Mets,2007,3853955
New York Yankees,2007,4271867
Oakland Athletics,2007,1921844
Philadelphia Phillies,2007,3108330
Pittsburgh Pirates,2007,1749142
San Diego Padres,2007,2790074
San Francisco Giants,2007,3223202
Seattle Mariners,2007,2672409
St. Louis Cardinals,2007,3552180
Tampa Bay Devil Rays,2007,1389106
Texas Rangers,2007,2353862
Toronto Blue Jays,2007,2360648
Washington Nationals,2007,1961579
Los Angeles Angels,2007,3365632
Arizona Diamondbacks,2008,2509924
Atlanta Braves,2008,2532834
Baltimore Orioles,2008,1950075
Boston Red Sox,2008,3048250
Chicago Cubs,2008,3299840
Chicago White Sox,2008,2501103
Cincinnati Reds,2008,2058632
Cleveland Indians,2008,2169760
Colorado Rockies,2008,2650218
Detroit Tigers,2008,3202654
Florida Marlins,2008,1335076
Houston Astros,2008,2779487
Kansas City Royals,2008,1578922
Los Angeles Dodgers,2008,3730553
Milwaukee Brewers,2008,3068908
Minnesota Twins,2008,2302431
New York Mets,2008,4042047
New York Yankees,2008,4298655
Oakland Athletics,2008,1665262
Philadelphia Phillies,2008,3422583
Pittsburgh Pirates,2008,1609076
San Diego Padres,2008,2427535
San Francisco Giants,2008,2863837
Seattle Mariners,2008,2329702
St. Louis Cardinals,2008,3430403
Tampa Bay Rays,2008,1811986
Texas Rangers,2008,1945677
Toronto Blue Jays,2008,2399786
Washington Nationals,2008,2320400
Los Angeles Angels,2008,3336747
Arizona Diamondbacks,2009,2129183
Atlanta Braves,2009,2373631
Baltimore Orioles,2009,1907163
Boston Red Sox,2009,3062699
Chicago Cubs,2009,3168859
Chicago White Sox,2009,2284163
Cincinnati Reds,2009,1747919
Cleveland Indians,2009,1766242
Colorado Rockies,2009,2665080
Detroit Tigers,2009,2567192
Florida Marlins,2009,1464109
Houston Astros,2009,2521081
Kansas City Royals,2009,1799686
Los Angeles Dodgers,2009,3761669
Milwaukee Brewers,2009,3037451
Minnesota Twins,2009,2416237
New York Mets,2009,3154270
New York Yankees,2009,3719358
Oakland Athletics,2009,1408783
Philadelphia Phillies,2009,3600693
Pittsburgh Pirates,2009,1577853
San Diego Padres,2009,1922603
San Francisco Giants,2009,2861111
Seattle Mariners,2009,2195128
St. Louis Cardinals,2009,3343252
Tampa Bay Rays,2009,1874962
Texas Rangers,2009,2156016
Toronto Blue Jays,2009,1876129
Washington Nationals,2009,1817280
Los Angeles Angels,2009,3240386
Arizona Diamondbacks,2010,2057224
Atlanta Braves,2010,2510121
Baltimore Orioles,2010,1733019
Boston Red Sox,2010,3046445
Chicago Cubs,2010,3062973
Chicago White Sox,2010,2194378
Cincinnati Reds,2010,2060550
Cleveland Indians,2010,1391644
Colorado Rockies,2010,2875245
Detroit Tigers,2010,2461237
Florida Marlins,2010,1524894
Houston Astros,2010,2331490
Kansas City Royals,2010,1615326
Los Angeles Dodgers,2010,3562318
Milwaukee Brewers,2010,2776531
Minnesota Twins,2010,3223640
New York Mets,2010,2573077
New York Yankees,2010,3765807
Oakland Athletics,2010,1418391
Philadelphia Phillies,2010,3647249
Pittsburgh Pirates,2010,1613399
San Diego Padres,2010,2131774
San Francisco Giants,2010,3037267
Seattle Mariners,2010,2085168
St. Louis Cardinals,2010,3301218
Tampa Bay Rays,2010,1865002
Texas Rangers,2010,2505171
Toronto Blue Jays,2010,1625555
Washington Nationals,2010,1828065
Los Angeles Angels,2010,3250754
Arizona Diamondbacks,2011,2105432
Atlanta Braves,2011,2372940
Baltimore Orioles,2011,1755461
Boston Red Sox,2011,3054001
Chicago Cubs,2011,3017966
Chicago White Sox,2011,2001117
Cincinnati Reds,2011,2213588
Cleveland Indians,2011,1840835
Colorado Rockies,2011,2909777
Detroit Tigers,2011,2642045
Florida Marlins,2011,1520562
Houston Astros,2011,2067016
Kansas City Royals,2011,1724450
Los Angeles Dodgers,2011,2935139
Milwaukee Brewers,2011,3071373
Minnesota Twins,2011,3168116
New York Mets,2011,2352596
New York Yankees,2011,3653680
Oakland Athletics,2011,1476791
Philadelphia Phillies,2011,3680718
Pittsburgh Pirates,2011,1940429
San Diego Padres,2011,2143018
San Francisco Giants,2011,3387303
Seattle Mariners,2011,1896321
St. Louis Cardinals,2011,3093954
Tampa Bay Rays,2011,1529188
Texas Rangers,2011,2946949
Toronto Blue Jays,2011,1818103
Washington Nationals,2011,1940478
Los Angeles Angels,2011,3166321
Arizona Diamondbacks,2012,2177617
Atlanta Braves,2012,2420171
Baltimore Orioles,2012,2102240
Boston Red Sox,2012,3043003
Chicago Cubs,2012,2882756
Chicago White Sox,2012,1965955
Cincinnati Reds,2012,2347251
Cleveland Indians,2012,1603596
Colorado Rockies,2012,2630458
Detroit Tigers,2012,3028033
Houston Astros,2012,1607733
Kansas City Royals,2012,1739859
Los Angeles Dodgers,2012,3324246
Milwaukee Brewers,2012,2831385
Minnesota Twins,2012,2776354
New York Mets,2012,2242803
New York Yankees,2012,3542406
Oakland Athletics,2012,1679013
Philadelphia Phillies,2012,3565718
Pittsburgh Pirates,2012,2091918
San Diego Padres,2012,2123721
San Francisco Giants,2012,3377371
Seattle Mariners,2012,1721920
St. Louis Cardinals,2012,3262109
Tampa Bay Rays,2012,1559681
Texas Rangers,2012,3460280
Toronto Blue Jays,2012,2099663
Washington Nationals,2012,2370794
Miami Marlins,2012,2219444
Los Angeles Angels,2012,3061770
