Team,Team Name,League,Year,Games,Wins,Home Runs,RS,RA,OBP,SLG,BA,Playoffs,PlayoffsFinish
ARI,Arizona Diamondbacks,NL,2012,162,81,165,734,688,0.328,0.418,0.259,No,
ATL,Atlanta Braves,NL,2012,162,94,149,700,600,0.32,0.389,0.247,Yes,5.0
BAL,Baltimore Orioles,AL,2012,162,93,214,712,705,0.311,0.417,0.247,Yes,4.0
BOS,Boston Red Sox,AL,2012,162,69,165,734,806,0.315,0.415,0.26,No,
CHC,Chicago Cubs,NL,2012,162,61,137,613,759,0.302,0.378,0.24,No,
CHW,Chicago White Sox,AL,2012,162,85,211,748,676,0.318,0.422,0.255,No,
CIN,Cincinnati Reds,NL,2012,162,97,172,669,588,0.315,0.411,0.251,Yes,4.0
CLE,Cleveland Indians,AL,2012,162,68,136,667,845,0.324,0.381,0.251,No,
COL,Colorado Rockies,NL,2012,162,64,166,758,890,0.33,0.436,0.274,No,
DET,Detroit Tigers,AL,2012,162,88,163,726,670,0.335,0.422,0.268,Yes,2.0
HOU,Houston Astros,NL,2012,162,55,146,583,794,0.302,0.371,0.236,No,
KCR,Kansas City Royals,AL,2012,162,72,131,676,746,0.317,0.4,0.265,No,
LAA,Los Angeles Angels,AL,2012,162,89,187,767,699,0.332,0.433,0.274,No,
LAD,Los Angeles Dodgers,NL,2012,162,86,116,637,597,0.317,0.374,0.252,No,
MIA,Miami Marlins,NL,2012,162,69,137,609,724,0.308,0.382,0.244,No,
MIL,Milwaukee Brewers,NL,2012,162,83,202,776,733,0.325,0.437,0.259,No,
MIN,Minnesota Twins,AL,2012,162,66,131,701,832,0.325,0.39,0.26,No,
NYM,New York Mets,NL,2012,162,74,139,650,709,0.316,0.386,0.249,No,
NYY,New York Yankees,AL,2012,162,95,245,804,668,0.337,0.453,0.265,Yes,3.0
OAK,Oakland Athletics,AL,2012,162,94,195,713,614,0.31,0.404,0.238,Yes,4.0
PHI,Philadelphia Phillies,NL,2012,162,81,158,684,680,0.317,0.4,0.255,No,
PIT,Pittsburgh Pirates,NL,2012,162,79,170,651,674,0.304,0.395,0.243,No,
SDP,San Diego Padres,NL,2012,162,76,121,651,710,0.319,0.38,0.247,No,
SEA,Seattle Mariners,AL,2012,162,75,149,619,651,0.296,0.369,0.234,No,
SFG,San Francisco Giants,NL,2012,162,94,103,718,649,0.327,0.397,0.269,Yes,1.0
STL,St. Louis Cardinals,NL,2012,162,88,159,765,648,0.338,0.421,0.271,Yes,3.0
TBR,Tampa Bay Rays,AL,2012,162,90,175,697,577,0.317,0.394,0.24,No,
TEX,Texas Rangers,AL,2012,162,93,200,808,707,0.334,0.446,0.273,Yes,5.0
TOR,Toronto Blue Jays,AL,2012,162,73,198,716,784,0.309,0.407,0.245,No,
WSN,Washington Nationals,NL,2012,162,98,194,731,594,0.322,0.428,0.261,Yes,4.0
ARI,Arizona Diamondbacks,NL,2011,162,94,,731,662,0.322,0.413,0.25,Yes,4.0
ATL,Atlanta Braves,NL,2011,162,89,,641,605,0.308,0.387,0.243,No,
BAL,Baltimore Orioles,AL,2011,162,69,,708,860,0.316,0.413,0.257,No,
BOS,Boston Red Sox,AL,2011,162,90,,875,737,0.349,0.461,0.28,No,
CHC,Chicago Cubs,NL,2011,162,71,,654,756,0.314,0.401,0.256,No,
CHW,Chicago White Sox,AL,2011,162,79,,654,706,0.319,0.388,0.252,No,
CIN,Cincinnati Reds,NL,2011,162,79,,735,720,0.326,0.408,0.256,No,
CLE,Cleveland Indians,AL,2011,162,80,,704,760,0.317,0.396,0.25,No,
COL,Colorado Rockies,NL,2011,162,73,,735,774,0.329,0.41,0.258,No,
DET,Detroit Tigers,AL,2011,162,95,,787,711,0.34,0.434,0.277,Yes,3.0
FLA,Florida Marlins,NL,2011,162,72,,625,702,0.318,0.388,0.247,No,
HOU,Houston Astros,NL,2011,162,56,,615,796,0.311,0.374,0.258,No,
KCR,Kansas City Royals,AL,2011,162,71,,730,762,0.329,0.415,0.275,No,
LAA,Los Angeles Angels,AL,2011,162,86,,667,633,0.313,0.402,0.253,No,
LAD,Los Angeles Dodgers,NL,2011,161,82,,644,612,0.322,0.375,0.257,No,
MIL,Milwaukee Brewers,NL,2011,162,96,,721,638,0.325,0.425,0.261,Yes,3.0
MIN,Minnesota Twins,AL,2011,162,63,,619,804,0.306,0.36,0.247,No,
NYM,New York Mets,NL,2011,162,77,,718,742,0.335,0.391,0.264,No,
NYY,New York Yankees,AL,2011,162,97,,867,657,0.343,0.444,0.263,Yes,4.0
OAK,Oakland Athletics,AL,2011,162,74,,645,679,0.311,0.369,0.244,No,
PHI,Philadelphia Phillies,NL,2011,162,102,,713,529,0.323,0.395,0.253,Yes,4.0
PIT,Pittsburgh Pirates,NL,2011,162,72,,610,712,0.309,0.368,0.244,No,
SDP,San Diego Padres,NL,2011,162,71,,593,611,0.305,0.349,0.237,No,
SEA,Seattle Mariners,AL,2011,162,67,,556,675,0.292,0.348,0.233,No,
SFG,San Francisco Giants,NL,2011,162,86,,570,578,0.303,0.368,0.242,No,
STL,St. Louis Cardinals,NL,2011,162,90,,762,692,0.341,0.425,0.273,Yes,1.0
TBR,Tampa Bay Rays,AL,2011,162,91,,707,614,0.322,0.402,0.244,Yes,4.0
TEX,Texas Rangers,AL,2011,162,96,,855,677,0.34,0.46,0.283,Yes,2.0
TOR,Toronto Blue Jays,AL,2011,162,81,,743,761,0.317,0.413,0.249,No,
WSN,Washington Nationals,NL,2011,161,80,,624,643,0.309,0.383,0.242,No,
ARI,Arizona Diamondbacks,NL,2010,162,65,,713,836,0.325,0.416,0.25,No,
ATL,Atlanta Braves,NL,2010,162,91,,738,629,0.339,0.401,0.258,Yes,4.0
BAL,Baltimore Orioles,AL,2010,162,66,,613,785,0.316,0.386,0.259,No,
BOS,Boston Red Sox,AL,2010,162,89,,818,744,0.339,0.451,0.268,No,
CHC,Chicago Cubs,NL,2010,162,75,,685,767,0.32,0.401,0.257,No,
CHW,Chicago White Sox,AL,2010,162,88,,752,704,0.332,0.42,0.268,No,
CIN,Cincinnati Reds,NL,2010,162,91,,790,685,0.338,0.436,0.272,Yes,4.0
CLE,Cleveland Indians,AL,2010,162,69,,646,752,0.322,0.378,0.248,No,
COL,Colorado Rockies,NL,2010,162,83,,770,717,0.336,0.425,0.263,No,
DET,Detroit Tigers,AL,2010,162,81,,751,743,0.335,0.415,0.268,No,
FLA,Florida Marlins,NL,2010,162,80,,719,717,0.321,0.403,0.254,No,
HOU,Houston Astros,NL,2010,162,76,,611,729,0.303,0.362,0.247,No,
KCR,Kansas City Royals,AL,2010,162,67,,676,845,0.331,0.399,0.274,No,
LAA,Los Angeles Angels,AL,2010,162,80,,681,702,0.311,0.39,0.248,No,
LAD,Los Angeles Dodgers,NL,2010,162,80,,667,692,0.322,0.379,0.252,No,
MIL,Milwaukee Brewers,NL,2010,162,77,,750,804,0.335,0.424,0.262,No,
MIN,Minnesota Twins,AL,2010,162,94,,781,671,0.341,0.422,0.273,Yes,4.0
NYM,New York Mets,NL,2010,162,79,,656,652,0.314,0.383,0.249,No,
NYY,New York Yankees,AL,2010,162,95,,859,693,0.35,0.436,0.267,Yes,3.0
OAK,Oakland Athletics,AL,2010,162,81,,663,626,0.324,0.378,0.256,No,
PHI,Philadelphia Phillies,NL,2010,162,97,,772,640,0.332,0.413,0.26,Yes,3.0
PIT,Pittsburgh Pirates,NL,2010,162,57,,587,866,0.304,0.373,0.242,No,
SDP,San Diego Padres,NL,2010,162,90,,665,581,0.317,0.371,0.246,No,
SEA,Seattle Mariners,AL,2010,162,61,,513,698,0.298,0.339,0.236,No,
SFG,San Francisco Giants,NL,2010,162,92,,697,583,0.321,0.408,0.257,Yes,1.0
STL,St. Louis Cardinals,NL,2010,162,86,,736,641,0.332,0.402,0.263,No,
TBR,Tampa Bay Rays,AL,2010,162,96,,802,649,0.333,0.403,0.247,Yes,4.0
TEX,Texas Rangers,AL,2010,162,90,,787,687,0.338,0.419,0.276,Yes,2.0
TOR,Toronto Blue Jays,AL,2010,162,85,,755,728,0.312,0.454,0.248,No,
WSN,Washington Nationals,NL,2010,162,69,,655,742,0.318,0.39,0.25,No,
ARI,Arizona Diamondbacks,NL,2009,162,70,,720,782,0.324,0.418,0.253,No,
ATL,Atlanta Braves,NL,2009,162,86,,735,641,0.339,0.405,0.263,No,
BAL,Baltimore Orioles,AL,2009,162,64,,741,876,0.332,0.415,0.268,No,
BOS,Boston Red Sox,AL,2009,162,95,,872,736,0.352,0.454,0.27,Yes,4.0
CHC,Chicago Cubs,NL,2009,161,83,,707,672,0.332,0.407,0.255,No,
CHW,Chicago White Sox,AL,2009,162,79,,724,732,0.329,0.411,0.258,No,
CIN,Cincinnati Reds,NL,2009,162,78,,673,723,0.318,0.394,0.247,No,
CLE,Cleveland Indians,AL,2009,162,65,,773,865,0.339,0.417,0.264,No,
COL,Colorado Rockies,NL,2009,162,92,,804,715,0.343,0.441,0.261,Yes,4.0
DET,Detroit Tigers,AL,2009,163,86,,743,745,0.331,0.416,0.26,No,
FLA,Florida Marlins,NL,2009,162,87,,772,766,0.34,0.416,0.268,No,
HOU,Houston Astros,NL,2009,162,74,,643,770,0.319,0.4,0.26,No,
KCR,Kansas City Royals,AL,2009,162,65,,686,842,0.318,0.405,0.259,No,
LAA,Los Angeles Angels,AL,2009,162,97,,883,761,0.35,0.441,0.285,Yes,3.0
LAD,Los Angeles Dodgers,NL,2009,162,95,,780,611,0.346,0.412,0.27,Yes,3.0
MIL,Milwaukee Brewers,NL,2009,162,80,,785,818,0.341,0.426,0.263,No,
MIN,Minnesota Twins,AL,2009,163,87,,817,765,0.345,0.429,0.274,Yes,4.0
NYM,New York Mets,NL,2009,162,70,,671,757,0.335,0.394,0.27,No,
NYY,New York Yankees,AL,2009,162,103,,915,753,0.362,0.478,0.283,Yes,1.0
OAK,Oakland Athletics,AL,2009,162,75,,759,761,0.328,0.397,0.262,No,
PHI,Philadelphia Phillies,NL,2009,162,93,,820,709,0.334,0.447,0.258,Yes,2.0
PIT,Pittsburgh Pirates,NL,2009,161,62,,636,768,0.318,0.387,0.252,No,
SDP,San Diego Padres,NL,2009,162,75,,638,769,0.321,0.381,0.242,No,
SEA,Seattle Mariners,AL,2009,162,85,,640,692,0.314,0.402,0.258,No,
SFG,San Francisco Giants,NL,2009,162,88,,657,611,0.309,0.389,0.257,No,
STL,St. Louis Cardinals,NL,2009,162,91,,730,640,0.332,0.415,0.263,Yes,4.0
TBR,Tampa Bay Rays,AL,2009,162,84,,803,754,0.343,0.439,0.263,No,
TEX,Texas Rangers,AL,2009,162,87,,784,740,0.32,0.445,0.26,No,
TOR,Toronto Blue Jays,AL,2009,162,75,,798,771,0.333,0.44,0.266,No,
WSN,Washington Nationals,NL,2009,162,59,,710,874,0.337,0.406,0.258,No,
ARI,Arizona Diamondbacks,NL,2008,162,82,,720,706,0.327,0.415,0.251,No,
ATL,Atlanta Braves,NL,2008,162,72,,753,778,0.345,0.408,0.27,No,
BAL,Baltimore Orioles,AL,2008,161,68,,782,869,0.333,0.429,0.267,No,
BOS,Boston Red Sox,AL,2008,162,95,,845,694,0.358,0.447,0.28,Yes,3.0
CHC,Chicago Cubs,NL,2008,161,97,,855,671,0.354,0.443,0.278,Yes,4.0
CHW,Chicago White Sox,AL,2008,163,89,,811,729,0.332,0.448,0.263,Yes,4.0
CIN,Cincinnati Reds,NL,2008,162,74,,704,800,0.321,0.408,0.247,No,
CLE,Cleveland Indians,AL,2008,162,81,,805,761,0.339,0.424,0.262,No,
COL,Colorado Rockies,NL,2008,162,74,,747,822,0.336,0.415,0.263,No,
DET,Detroit Tigers,AL,2008,162,74,,821,857,0.34,0.444,0.271,No,
FLA,Florida Marlins,NL,2008,161,84,,770,767,0.326,0.433,0.254,No,
HOU,Houston Astros,NL,2008,161,86,,712,743,0.323,0.415,0.263,No,
KCR,Kansas City Royals,AL,2008,162,75,,691,781,0.32,0.397,0.269,No,
LAA,Los Angeles Angels,AL,2008,162,100,,765,697,0.33,0.413,0.268,Yes,4.0
LAD,Los Angeles Dodgers,NL,2008,162,84,,700,648,0.333,0.399,0.264,Yes,3.0
MIL,Milwaukee Brewers,NL,2008,162,90,,750,689,0.325,0.431,0.253,Yes,4.0
MIN,Minnesota Twins,AL,2008,163,88,,829,745,0.34,0.408,0.279,No,
NYM,New York Mets,NL,2008,162,89,,799,715,0.34,0.42,0.266,No,
NYY,New York Yankees,AL,2008,162,89,,789,727,0.342,0.427,0.271,No,
OAK,Oakland Athletics,AL,2008,161,75,,646,690,0.318,0.369,0.242,No,
PHI,Philadelphia Phillies,NL,2008,162,92,,799,680,0.332,0.438,0.255,Yes,1.0
PIT,Pittsburgh Pirates,NL,2008,162,67,,735,884,0.32,0.403,0.258,No,
SDP,San Diego Padres,NL,2008,162,63,,637,764,0.317,0.39,0.25,No,
SEA,Seattle Mariners,AL,2008,162,61,,671,811,0.318,0.389,0.265,No,
SFG,San Francisco Giants,NL,2008,162,72,,640,759,0.321,0.382,0.262,No,
STL,St. Louis Cardinals,NL,2008,162,86,,779,725,0.35,0.433,0.281,No,
TBR,Tampa Bay Rays,AL,2008,162,97,,774,671,0.34,0.422,0.26,Yes,2.0
TEX,Texas Rangers,AL,2008,162,79,,901,967,0.354,0.462,0.283,No,
TOR,Toronto Blue Jays,AL,2008,162,86,,714,610,0.331,0.399,0.264,No,
WSN,Washington Nationals,NL,2008,161,59,,641,825,0.323,0.373,0.251,No,
ARI,Arizona Diamondbacks,NL,2007,162,90,,712,732,0.321,0.413,0.25,Yes,3.0
ATL,Atlanta Braves,NL,2007,162,84,,810,733,0.339,0.435,0.275,No,
BAL,Baltimore Orioles,AL,2007,162,69,,756,868,0.333,0.412,0.272,No,
BOS,Boston Red Sox,AL,2007,162,96,,867,657,0.362,0.444,0.279,Yes,1.0
CHC,Chicago Cubs,NL,2007,162,85,,752,690,0.333,0.422,0.271,Yes,4.0
CHW,Chicago White Sox,AL,2007,162,72,,693,839,0.318,0.404,0.246,No,
CIN,Cincinnati Reds,NL,2007,162,72,,783,853,0.335,0.436,0.267,No,
CLE,Cleveland Indians,AL,2007,162,96,,811,704,0.343,0.428,0.268,Yes,3.0
COL,Colorado Rockies,NL,2007,163,90,,860,758,0.354,0.437,0.28,Yes,2.0
DET,Detroit Tigers,AL,2007,162,88,,887,797,0.345,0.458,0.287,No,
FLA,Florida Marlins,NL,2007,162,71,,790,891,0.336,0.448,0.267,No,
HOU,Houston Astros,NL,2007,162,73,,723,813,0.33,0.412,0.26,No,
KCR,Kansas City Royals,AL,2007,162,69,,706,778,0.322,0.388,0.261,No,
LAA,Los Angeles Angels,AL,2007,162,94,,822,731,0.345,0.417,0.284,Yes,4.0
LAD,Los Angeles Dodgers,NL,2007,162,82,,735,727,0.337,0.406,0.275,No,
MIL,Milwaukee Brewers,NL,2007,162,83,,801,776,0.329,0.456,0.262,No,
MIN,Minnesota Twins,AL,2007,162,79,,718,725,0.33,0.391,0.264,No,
NYM,New York Mets,NL,2007,162,88,,804,750,0.342,0.432,0.275,No,
NYY,New York Yankees,AL,2007,162,94,,968,777,0.366,0.463,0.29,Yes,4.0
OAK,Oakland Athletics,AL,2007,162,76,,741,758,0.338,0.407,0.256,No,
PHI,Philadelphia Phillies,NL,2007,162,89,,892,821,0.354,0.458,0.274,Yes,4.0
PIT,Pittsburgh Pirates,NL,2007,162,68,,724,846,0.325,0.411,0.263,No,
SDP,San Diego Padres,NL,2007,163,89,,741,666,0.322,0.411,0.251,No,
SEA,Seattle Mariners,AL,2007,162,88,,794,813,0.337,0.425,0.287,No,
SFG,San Francisco Giants,NL,2007,162,71,,683,720,0.322,0.387,0.254,No,
STL,St. Louis Cardinals,NL,2007,162,78,,725,829,0.337,0.405,0.274,No,
TBD,Tampa Bay Devil Rays,AL,2007,162,66,,782,944,0.336,0.433,0.268,No,
TEX,Texas Rangers,AL,2007,162,75,,816,844,0.328,0.426,0.263,No,
TOR,Toronto Blue Jays,AL,2007,162,83,,753,699,0.327,0.419,0.259,No,
WSN,Washington Nationals,NL,2007,162,73,,673,783,0.325,0.39,0.256,No,
ARI,Arizona Diamondbacks,NL,2006,162,76,,773,788,0.331,0.424,0.267,No,
ATL,Atlanta Braves,NL,2006,162,79,,849,805,0.337,0.455,0.27,No,
BAL,Baltimore Orioles,AL,2006,162,70,,768,899,0.339,0.424,0.277,No,
BOS,Boston Red Sox,AL,2006,162,86,,820,825,0.351,0.435,0.269,No,
CHC,Chicago Cubs,NL,2006,162,66,,716,834,0.319,0.422,0.268,No,
CHW,Chicago White Sox,AL,2006,162,90,,868,794,0.342,0.464,0.28,No,
CIN,Cincinnati Reds,NL,2006,162,80,,749,801,0.336,0.432,0.257,No,
CLE,Cleveland Indians,AL,2006,162,78,,870,782,0.349,0.457,0.28,No,
COL,Colorado Rockies,NL,2006,162,76,,813,812,0.341,0.433,0.27,No,
DET,Detroit Tigers,AL,2006,162,95,,822,675,0.329,0.449,0.274,Yes,2.0
FLA,Florida Marlins,NL,2006,162,78,,758,772,0.331,0.435,0.264,No,
HOU,Houston Astros,NL,2006,162,82,,735,719,0.332,0.409,0.255,No,
KCR,Kansas City Royals,AL,2006,162,62,,757,971,0.332,0.411,0.271,No,
LAA,Los Angeles Angels,AL,2006,162,89,,766,732,0.334,0.425,0.274,No,
LAD,Los Angeles Dodgers,NL,2006,162,88,,820,751,0.348,0.432,0.276,Yes,4.0
MIL,Milwaukee Brewers,NL,2006,162,75,,730,833,0.327,0.42,0.258,No,
MIN,Minnesota Twins,AL,2006,162,96,,801,683,0.347,0.425,0.287,Yes,4.0
NYM,New York Mets,NL,2006,162,97,,834,731,0.334,0.445,0.264,Yes,3.0
NYY,New York Yankees,AL,2006,162,97,,930,767,0.363,0.461,0.285,Yes,4.0
OAK,Oakland Athletics,AL,2006,162,93,,771,727,0.34,0.412,0.26,Yes,3.0
PHI,Philadelphia Phillies,NL,2006,162,85,,865,812,0.347,0.447,0.267,No,
PIT,Pittsburgh Pirates,NL,2006,162,67,,691,797,0.327,0.397,0.263,No,
SDP,San Diego Padres,NL,2006,162,88,,731,679,0.332,0.416,0.263,Yes,4.0
SEA,Seattle Mariners,AL,2006,162,78,,756,792,0.325,0.424,0.272,No,
SFG,San Francisco Giants,NL,2006,161,76,,746,790,0.324,0.422,0.259,No,
STL,St. Louis Cardinals,NL,2006,161,83,,781,762,0.337,0.431,0.269,Yes,1.0
TBD,Tampa Bay Devil Rays,AL,2006,162,61,,689,856,0.314,0.42,0.255,No,
TEX,Texas Rangers,AL,2006,162,80,,835,784,0.338,0.446,0.278,No,
TOR,Toronto Blue Jays,AL,2006,162,87,,809,754,0.348,0.463,0.284,No,
WSN,Washington Nationals,NL,2006,162,71,,746,872,0.338,0.418,0.262,No,
ARI,Arizona Diamondbacks,NL,2005,162,77,,696,856,0.332,0.421,0.256,No,
ATL,Atlanta Braves,NL,2005,162,90,,769,674,0.333,0.435,0.265,Yes,4.0
BAL,Baltimore Orioles,AL,2005,162,74,,729,800,0.327,0.434,0.269,No,
BOS,Boston Red Sox,AL,2005,162,95,,910,805,0.357,0.454,0.281,Yes,4.0
CHC,Chicago Cubs,NL,2005,162,79,,703,714,0.324,0.44,0.27,No,
CHW,Chicago White Sox,AL,2005,162,99,,741,645,0.322,0.425,0.262,Yes,1.0
CIN,Cincinnati Reds,NL,2005,163,73,,820,889,0.339,0.446,0.261,No,
CLE,Cleveland Indians,AL,2005,162,93,,790,642,0.334,0.453,0.271,No,
COL,Colorado Rockies,NL,2005,162,67,,740,862,0.333,0.411,0.267,No,
DET,Detroit Tigers,AL,2005,162,71,,723,787,0.321,0.428,0.272,No,
FLA,Florida Marlins,NL,2005,162,83,,717,732,0.339,0.409,0.272,No,
HOU,Houston Astros,NL,2005,163,89,,693,609,0.322,0.408,0.256,Yes,2.0
KCR,Kansas City Royals,AL,2005,162,56,,701,935,0.32,0.396,0.263,No,
LAA,Los Angeles Angels,AL,2005,162,95,,761,643,0.325,0.409,0.27,Yes,3.0
LAD,Los Angeles Dodgers,NL,2005,162,71,,685,755,0.326,0.395,0.253,No,
MIL,Milwaukee Brewers,NL,2005,162,81,,726,697,0.331,0.423,0.259,No,
MIN,Minnesota Twins,AL,2005,162,83,,688,662,0.323,0.391,0.259,No,
NYM,New York Mets,NL,2005,162,83,,722,648,0.322,0.416,0.258,No,
NYY,New York Yankees,AL,2005,162,95,,886,789,0.355,0.45,0.276,Yes,4.0
OAK,Oakland Athletics,AL,2005,162,88,,772,658,0.33,0.407,0.262,No,
PHI,Philadelphia Phillies,NL,2005,162,88,,807,726,0.348,0.423,0.27,No,
PIT,Pittsburgh Pirates,NL,2005,162,67,,680,769,0.322,0.4,0.259,No,
SDP,San Diego Padres,NL,2005,162,82,,684,726,0.333,0.391,0.257,Yes,4.0
SEA,Seattle Mariners,AL,2005,162,69,,699,751,0.317,0.391,0.256,No,
SFG,San Francisco Giants,NL,2005,162,75,,649,745,0.319,0.396,0.261,No,
STL,St. Louis Cardinals,NL,2005,162,100,,805,634,0.339,0.423,0.27,Yes,3.0
TBD,Tampa Bay Devil Rays,AL,2005,162,67,,750,936,0.329,0.425,0.274,No,
TEX,Texas Rangers,AL,2005,162,79,,865,858,0.329,0.468,0.267,No,
TOR,Toronto Blue Jays,AL,2005,162,80,,775,705,0.331,0.407,0.265,No,
WSN,Washington Nationals,NL,2005,162,81,,639,673,0.322,0.386,0.252,No,
ANA,Anaheim Angels,AL,2004,162,92,,836,734,0.341,0.429,0.282,Yes,4.0
ARI,Arizona Diamondbacks,NL,2004,162,51,,615,899,0.31,0.393,0.253,No,
